ts,ifHCInOctets_rate,ifHCOutOctets_rate,ifInErrors_rate,ifOutErrors_rate,ifInDiscards_rate,ifOutDiscards_rate,ifHCInUcastPkts_rate,ifHCOutUcastPkts_rate,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInDiscards,ifOutDiscards,ifHCInUcastPkts,ifHCOutUcastPkts
1749104108243526,0.0013644224663346756,0.005273282928881148,0.0,0.0,3.976072657426384e-7,0.0,9.956748612971905e-6,3.777269024555065e-6,969147107,3772029612,0,0,240468,0,4737648,2644434
1749104168517670,0.0016618236834686528,0.005200073849244545,0.0,0.0,3.981806859007405e-7,0.0,0.000011165650067133264,3.6333987588442565e-6,969247272,3772343042,0,0,240492,0,4738321,2644653
1749104228775083,0.0017952645925904584,0.0037386105507051888,0.0,0.0,3.9829124426566406e-7,0.0,9.061125807043856e-6,2.721656835815371e-6,969355450,3772568321,0,0,240516,0,4738867,2644817
1749104291997207,0.0013052392861714042,0.0045426344739699035,0.0,0.0,3.7961394653555137e-7,0.0,8.968379486902402e-6,3.3216220321860745e-6,969437970,3772855516,0,0,240540,0,4739434,2645027
1749104355245253,0.001288624790084424,0.003724447076199002,0.0,0.0,4.1107989328239484e-7,0.0,8.110922509764174e-6,2.719451601714304e-6,969519473,3773091080,0,0,240566,0,4739947,2645199
1749104415470129,0.0016518091295032306,0.0067409354234286845,0.0,0.0,3.985064244881135e-7,0.0,0.000010792882329886407,4.682450487735334e-6,969618953,3773497052,0,0,240590,0,4740597,2645481
1749104478803175,0.0015308595768471329,0.004349688154900997,0.0,0.0,4.1052817829099835e-7,0.0,9.5053062819685e-6,3.268435881009102e-6,969715907,3773772531,0,0,240616,0,4741199,2645688
1749104539224623,0.001463222132644024,0.00433933658789508,0.0,0.0,3.9720994438928375e-7,0.0,9.086177477904866e-6,3.210780383813377e-6,969804317,3774034720,0,0,240640,0,4741748,2645882
1749104599538696,0.0011534953044872297,0.003275437889926618,0.0,0.0,3.9791708313248883e-7,0.0,7.4443654302703115e-6,2.288023228011811e-6,969873889,3774232275,0,0,240664,0,4742197,2646020
1749104662776189,0.001557952336915064,0.0034862703997452903,0.0,0.0,3.953350902130165e-7,0.0,8.523424544992636e-6,2.5301445773633055e-6,969972410,3774452738,0,0,240689,0,4742736,2646180
1749104726025747,0.001376294202719962,0.004621154822931727,0.0,0.0,3.9525967912692763e-7,0.0,9.249076491570108e-6,3.446664401986809e-6,970059460,3774745024,0,0,240714,0,4743321,2646398
1749104786236234,0.001442373319451809,0.005483878580819318,0.0,0.0,3.9860165887713217e-7,0.0,9.549831410597959e-6,3.819932564239183e-6,970146306,3775075211,0,0,240738,0,4743896,2646628
1749104849485419,0.0013523652518210314,0.004691222503499452,0.0,0.0,3.9526201009546606e-7,0.0,8.932921428157533e-6,3.4150637672248268e-6,970231842,3775371927,0,0,240763,0,4744461,2646844
1749104981803551,0.0013684745791302435,0.005085773127450136,0.0,0.0,3.929922468978023e-7,0.0,9.409141295918536e-6,3.597390567756806e-6,970412916,3776044867,0,0,240815,0,4745706,2647320
1749105042003050,0.001591906935969683,0.005111321607510388,0.0,0.0,3.9867441421730104e-7,0.0,0.000010099751826838293,3.78740693506436e-6,970508748,3776352566,0,0,240839,0,4746314,2647548
1749105102333069,0.002463881206468707,0.006907291045275487,0.0,0.0,3.9781190852931774e-7,0.0,0.000012713405576749445,4.856620383295421e-6,970657394,3776769283,0,0,240863,0,4747081,2647841
1749105162645438,0.001700778823660533,0.0063444034174814125,0.0,0.0,3.9792832544846644e-7,0.0,0.000010793805827789653,4.344050886145759e-6,970759972,3777151929,0,0,240887,0,4747732,2648103
1749105222959907,0.0016386449493570108,0.004734751125803661,0.0,0.0,4.1449424017974857e-7,0.0,0.000010279457156457764,3.465171847902698e-6,970858806,3777437503,0,0,240912,0,4748352,2648312
1749105286085053,0.0014726619404571357,0.005311750090843354,0.0,0.0,3.643555929359751e-7,0.0,0.000010487104457548502,3.738605214473484e-6,970951768,3777772808,0,0,240935,0,4749014,2648548
1749105346265307,0.0018449240842353374,0.004942435105042927,0.0,0.0,3.9880190602053624e-7,0.0,0.0000105848672556284,3.406432947258747e-6,971062796,3778070245,0,0,240959,0,4749651,2648753
1749105409445095,0.001861228151002976,0.007048377560241259,0.0,0.0,3.956961678947071e-7,0.0,0.00001207664704414646,4.938288175325945e-6,971180388,3778515560,0,0,240984,0,4750414,2649065
1749105472842246,0.0017044772248519496,0.0045550154138629985,0.0,0.0,3.9433948695896444e-7,0.0,0.000010268600240411434,3.3124516904553013e-6,971288447,3778804335,0,0,241009,0,4751065,2649275
1749105533056531,0.002077380807560864,0.004630811442832876,0.0,0.0,3.985765171835886e-7,0.0,0.000010911032157900738,3.354685686295204e-6,971413535,3779083176,0,0,241033,0,4751722,2649477
1749105593345131,0.001714884737744781,0.006274585908447036,0.0,0.0,3.9808521013923033e-7,0.0,0.000012042077606711717,4.3789373115315336e-6,971516923,3779461462,0,0,241057,0,4752448,2649741
1749105659623382,0.0017311561223907373,0.004634401109950835,0.0,0.0,4.0737345347269347e-7,0.0,0.000010350303299343249,3.3646029675707645e-6,971631661,3779768622,0,0,241084,0,4753134,2649964
1749105719980939,0.002273435288310294,0.006227720581865167,0.0,0.0,3.976304077383384e-7,0.0,0.000012343110573544253,4.40707035243325e-6,971768880,3780144512,0,0,241108,0,4753879,2650230
1749105780300174,0.0020355364254868286,0.005350913352929625,0.0,0.0,3.978830301810028e-7,0.0,0.000012400687773974588,4.011987220991778e-6,971891662,3780467275,0,0,241132,0,4754627,2650472
1749105840545805,0.002026205020576513,0.00596277263657509,0.0,0.0,3.983691365104965e-7,0.0,0.000012946996936591136,4.1828759333602135e-6,972013732,3780826506,0,0,241156,0,4755407,2650724
1749105900730397,0.0015154210898364153,0.004589663081873181,0.0,0.0,3.9877316107750637e-7,0.0,0.000010717028703957984,3.273263030511198e-6,972104937,3781102733,0,0,241180,0,4756052,2650921
1749105960992913,0.002013258125498776,0.006448436371292563,0.0,0.0,3.8166345394540113e-7,0.0,0.000012047289894102662,4.679525826634918e-6,972226261,3781491332,0,0,241203,0,4756778,2651203
1749106021300670,0.0024691682696804658,0.005610057757578349,0.0,0.0,3.8137714191559137e-7,0.0,0.000011756364939919752,4.128822101607924e-6,972375171,3781829662,0,0,241226,0,4757487,2651452
1749106081537149,0.0019664994031274637,0.006261587766442989,0.0,0.0,4.150308984693478e-7,0.0,0.00001328098875101913,4.41592875971386e-6,972493626,3782206838,0,0,241251,0,4758287,2651718
1749106141926539,0.001697599528658925,0.005117604267902027,0.0,0.0,3.974208052109816e-7,0.0,0.000012237248960454808,3.7258200488529523e-6,972596143,3782515887,0,0,241275,0,4759026,2651943
1749106202228321,0.0014244189334238911,0.005723097867986721,0.0,0.0,3.97998188511245e-7,0.0,0.000012022861944610526,4.01314840082172e-6,972682038,3782861000,0,0,241299,0,4759751,2652185
1749106262554361,0.001753239562881966,0.005736361942537584,0.0,0.0,3.9783814750644997e-7,0.0,0.000011139468130180598,4.077841011941112e-6,972787804,3783207052,0,0,241323,0,4760423,2652431
1749106322973912,0.0014371010469773268,0.00449463783668303,0.0,0.0,3.806714816533476e-7,0.0,9.06991182374063e-6,3.3101867969856313e-6,972874633,3783478616,0,0,241346,0,4760971,2652631
1749106383387364,0.00128582289917815,0.005324294331004294,0.0,0.0,3.972625169639371e-7,0.0,9.683273850995968e-6,3.707783491663413e-6,972952314,3783800275,0,0,241370,0,4761556,2652855
1749106446576980,0.0018800715611248533,0.00553038651160659,0.0,0.0,4.114600095053592e-7,0.0,0.000012755260294666137,4.01964778516774e-6,973071115,3784149738,0,0,241396,0,4762362,2653109
1749106506819002,0.001506456738786092,0.006303888670934717,0.0,0.0,3.9839300214723867e-7,0.0,0.000012200785690759184,4.315924189928419e-6,973161867,3784529497,0,0,241420,0,4763097,2653369
1749106567026791,0.001481569103957629,0.00550397225182941,0.0,0.0,3.986195208065189e-7,0.0,0.000010779336208476283,3.969586061364917e-6,973251069,3784860879,0,0,241444,0,4763746,2653608
1749106627278466,0.0016260626779255514,0.006096096083635849,0.0,0.0,3.8173212611931534e-7,0.0,0.000011103425755383563,4.315232730044434e-6,973349042,3785228179,0,0,241467,0,4764415,2653868
1749106687624673,0.0011686235723149924,0.0026752302758647284,0.0,0.0,3.9770519462805673e-7,0.0,7.937532842784966e-6,1.9885259731402837e-6,973419564,3785389619,0,0,241491,0,4764894,2653988
