ts,ifHCInOctets_rate,ifHCOutOctets_rate,ifInErrors_rate,ifOutErrors_rate,ifInDiscards_rate,ifOutDiscards_rate,ifHCInUcastPkts_rate,ifHCOutUcastPkts_rate,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInDiscards,ifOutDiscards,ifHCInUcastPkts,ifHCOutUcastPkts
1749053484664224,0.003214216049785787,0.0682930700250917,0.0,0.0,3.9927116376314734e-7,0.0,0.000026335260509877594,0.000047962448547048075,862614887,2131738429,0,0,220555,0,3877210,1505029
1749053544772260,0.0027100203373805125,0.06455215073072759,0.0,0.0,3.9928105453320753e-7,0.0,0.000024988339329536568,0.000044852571792563645,862777781,2135618532,0,0,220579,0,3878712,1507725
1749053604885705,0.0028172898758339338,0.06814919690595007,0.0,0.0,3.8260991363912015e-7,0.0,0.000026599706604737094,0.000047360453223068485,862947138,2139715215,0,0,220602,0,3880311,1510572
1749053664991576,0.0028007746531116735,0.06458605349883376,0.0,0.0,3.9929543654728837e-7,0.0,0.00002540517215032122,0.0000450371977805629,863115481,2143597216,0,0,220626,0,3881838,1513279
1749053725101944,0.002943219379392254,0.06812119333556567,0.0,0.0,3.8262949912401136e-7,0.0,0.00002673415674314288,0.00004717988084850853,863292399,2147692006,0,0,220649,0,3883445,1516115
1749053785116970,0.0028863604924540065,0.06464524400939191,0.0,0.0,3.832373579243305e-7,0.0,0.000025293665623005813,0.00004483877087714667,863465624,2151571692,0,0,220672,0,3884963,1518806
1749053845219774,0.0029020775802739585,0.06815765201237534,0.0,0.0,3.993158122872271e-7,0.0,0.00002622173834019458,0.000047485305344489416,863640047,2155668158,0,0,220696,0,3886539,1521660
1749053905329842,0.0026828284406532365,0.06454406273504798,0.0,0.0,3.992675569756467e-7,0.0,0.000025004130755599876,0.00004478451097410171,863801312,2159547906,0,0,220720,0,3888042,1524352
1749053965439286,0.0029214876783754647,0.06816679255925243,0.0,0.0,3.826353808895654e-7,0.0,0.000026717931378636608,0.00004749669619303083,863976921,2163645374,0,0,220743,0,3889648,1527207
1749054025451058,0.0029744497462931107,0.06466627914269887,0.0,0.0,3.9992153539475553e-7,0.0,0.000025811602430269848,0.00004504116292383434,864155423,2167526112,0,0,220767,0,3891197,1529910
1749054085557509,0.0028910041619326352,0.06813789421704503,0.0,0.0,3.9929158352736546e-7,0.0,0.00002618687301966972,0.00004731605264799281,864329191,2171621639,0,0,220791,0,3892771,1532754
1749054145755188,0.0028827191161307068,0.0644719541429496,0.0,0.0,3.986864676294247e-7,0.0,0.000024618889376116976,0.00004496851116136886,864502724,2175502701,0,0,220815,0,3894253,1535461
1749054205864579,0.0029584395556428115,0.06814846951285865,0.0,0.0,3.8263571826904717e-7,0.0,0.00002720040866825618,0.00004748010173651568,864680554,2179599064,0,0,220838,0,3895888,1538315
1749054265973484,0.0030528754433307346,0.06456061709991223,0.0,0.0,3.8263881200298025e-7,0.0,0.00002715071918212451,0.000044951742175306635,864864059,2183479732,0,0,220861,0,3897520,1541017
1749054326084539,0.0031623134879266383,0.06815864402978787,0.0,0.0,3.826251261103303e-7,0.0,0.000026168231450936935,0.000047362336262439576,865054149,2187576820,0,0,220884,0,3899093,1543864
1749054386195260,0.0027857759350449316,0.06459326947683758,0.0,0.0,3.8262725213360856e-7,0.0,0.000024953951226104906,0.00004500029204440918,865221604,2191459568,0,0,220907,0,3900593,1546569
1749054446205820,0.0028772269413916483,0.06824390573925655,0.0,0.0,3.832658785387105e-7,0.0,0.000027395178448593048,0.00004735833160030501,865394268,2195554923,0,0,220930,0,3902237,1549411
1749054506312456,0.0027874126910047005,0.06817245603297446,0.0,0.0,3.8265325645574307e-7,0.0,0.000026536171480300443,0.00004751555219293923,865561810,2199652540,0,0,220953,0,3903832,1552267
1749054566421715,0.003100354306480471,0.06458760371675851,0.0,0.0,3.826365585375125e-7,0.0,0.00002661819537652261,0.000044951477442102554,865748170,2203534853,0,0,220976,0,3905432,1554969
1749054626532186,0.0028919753431976935,0.06814681255783206,0.0,0.0,3.9926488015706946e-7,0.0,0.000027150011850680724,0.000047462612628671636,865922008,2207631190,0,0,221000,0,3907064,1557822
1749054686643908,0.003226442256969448,0.0645741607601925,0.0,0.0,3.826208804998133e-7,0.0,0.00002736571080096491,0.000044932999923043294,866115955,2211512854,0,0,221023,0,3908709,1560523
1749054746658627,0.0030290069341156124,0.0682524731974501,0.0,0.0,3.9990189739953626e-7,0.0,0.000027659881236801258,0.000047505012895253245,866297740,2215609007,0,0,221047,0,3910369,1563374
1749054806760566,0.002715469795408764,0.06462878011306757,0.0,0.0,3.993215593260643e-7,0.0,0.000025490026203647106,0.000045073421008929515,866460945,2219493322,0,0,221071,0,3911901,1566083
1749054866771707,0.0030139403615072075,0.06825164347400094,0.0,0.0,3.9992574045542644e-7,0.0,0.000026911669618146404,0.00004745785453404394,866641815,2223589181,0,0,221095,0,3913516,1568931
1749054926877889,0.0030238486949645212,0.0681441220139386,0.0,0.0,3.992933705221869e-7,0.0,0.00002600398075525742,0.00004738281330196618,866823567,2227685064,0,0,221119,0,3915079,1571779
1749054986987644,0.0029490221678660977,0.06456768955388356,0.0,0.0,3.826334011842171e-7,0.0,0.00002608561621986315,0.00004505092393073304,867000832,2231566212,0,0,221142,0,3916647,1574487
1749055047110029,0.0029311378781796496,0.068147130224458,0.0,0.0,3.825530208091379e-7,0.0,0.000027394122837941308,0.00004738667636022756,867177059,2235663380,0,0,221165,0,3918294,1577336
1749055107222176,0.0030349273666768215,0.06454700411881811,0.0,0.0,3.992537481650755e-7,0.0,0.000027016170292503443,0.000044749690940168884,867359495,2239543439,0,0,221189,0,3919918,1580026
1749055167433477,0.0033066051836348792,0.0680439208579798,0.0,0.0,3.819880922353762e-7,0.0,0.00002839998424880406,0.000047515997038496145,867558590,2243640452,0,0,221212,0,3921628,1582887
1749055227543839,0.0029637485796542035,0.06457874933443256,0.0,0.0,3.992656041565679e-7,0.0,0.00002573599540125877,0.0000448342001334146,867736742,2247522304,0,0,221236,0,3923175,1585582
1749055287654515,0.0030074857251646946,0.06815115504606868,0.0,0.0,3.9926351851374956e-7,0.0,0.00002710001131912075,0.00004749572272319812,867917524,2251618916,0,0,221260,0,3924804,1588437
1749055347763742,0.002856932430689884,0.06457956945611694,0.0,0.0,3.992731432064498e-7,0.0,0.000025869572403584562,0.000044835046705890925,868089252,2255500744,0,0,221284,0,3926359,1591132
1749055407878231,0.002952166822876927,0.06817722429612601,0.0,0.0,3.992381936408043e-7,0.0,0.000026316450930823016,0.00004744280534431558,868266720,2259599183,0,0,221308,0,3927941,1593984
